Site Id,Name,Met_Office_Id,Latitude,Longitude,Elevation
82d366b1-701d-e811-a6d2-9cb6d0e28a40,BIRNI-N'KONNI,61075,13.8,5.25,273
85d366b1-701d-e811-a6d2-9cb6d0e28a40,MARADI,61080,13.466667,7.083333,373
88d366b1-701d-e811-a6d2-9cb6d0e28a40,DIFFA,61085,13.416667,12.783333,305
8bd366b1-701d-e811-a6d2-9cb6d0e28a40,ZINDER,61090,13.783333,8.983333,453
8ed366b1-701d-e811-a6d2-9cb6d0e28a40,MAINE-SOROA,61096,13.233333,11.983333,337
91d366b1-701d-e811-a6d2-9cb6d0e28a40,GAYA B259,61099,11.883333,3.45,203
b55bdcb7-701d-e811-a6d2-9cb6d0e28a40,TESSALIT,61202,20.2,NaN,491
b85bdcb7-701d-e811-a6d2-9cb6d0e28a40,KIDAL,61214,18.433333,1.35,459
bb5bdcb7-701d-e811-a6d2-9cb6d0e28a40,TOMBOUCTOU,61223,16.716667,-3,264
be5bdcb7-701d-e811-a6d2-9cb6d0e28a40,GAO,61226,16.266667,NaN,260
c15bdcb7-701d-e811-a6d2-9cb6d0e28a40,NIORO DU SAHEL,61230,15.233333,-9.35,237
c45bdcb7-701d-e811-a6d2-9cb6d0e28a40,NARA ,61233,15.166667,-7.283333,265
c75bdcb7-701d-e811-a6d2-9cb6d0e28a40,YELIMANE,61235,15.116667,-10.566667,100
ca5bdcb7-701d-e811-a6d2-9cb6d0e28a40,HOMBORI,61240,15.333333,-1.683333,288
cd5bdcb7-701d-e811-a6d2-9cb6d0e28a40,MENAKA,61250,15.866667,2.216667,278
d05bdcb7-701d-e811-a6d2-9cb6d0e28a40,KAYES,61257,14.433333,-11.433333,47
ff6548be-701d-e811-a6d2-9cb6d0e28a40,MOPTI,61265,14.516667,-4.1,272
026648be-701d-e811-a6d2-9cb6d0e28a40,KITA,61270,13.066667,-9.466667,334
056648be-701d-e811-a6d2-9cb6d0e28a40,SEGOU,61272,13.4,-6.15,289
086648be-701d-e811-a6d2-9cb6d0e28a40,SAN,61277,13.333333,-4.833333,284
0b6648be-701d-e811-a6d2-9cb6d0e28a40,KENIEBA,61285,12.85,-11.233333,132
0e6648be-701d-e811-a6d2-9cb6d0e28a40,DIOILA,61288,12.483333,-6.8,331
116648be-701d-e811-a6d2-9cb6d0e28a40,BAMAKO SENOU,61291,12.533333,-7.95,381
146648be-701d-e811-a6d2-9cb6d0e28a40,KOUTIALA,61293,12.383333,-5.466667,367
176648be-701d-e811-a6d2-9cb6d0e28a40,BOUGOUNI,61296,11.416667,-7.5,351
1a6648be-701d-e811-a6d2-9cb6d0e28a40,SIKASSO,61297,11.35,-5.683333,375
b31b10c5-701d-e811-a6d2-9cb6d0e28a40,BIR MOGHREIN,61401,25.233333,-11.616667,360
b61b10c5-701d-e811-a6d2-9cb6d0e28a40,ZOUERATE,61404,22.75,-12.483333,343
